timestamp,uuid,Pan,transactionamount,merchantname,cardissueridencode,State,approved,request,response,messagetypequalifier,messageformat,transactiontype
1.52728E+12,2.71E+06,a1,4000,Merc01,A01,ky,1,0,1,WTD,C,4012WTDC
1.52728E+12,3.29E+06,a2,1107,Merc02,A02,nc,1,1,0,0,N,0
1.52729E+12,5.04E+06,a3,12550,Merc03,A03,ga,1,1,0,0,N,0
1.5273E+12,7.14E+06,a4,8355,Merc04,A04,tn,1,1,0,PUR,B,4011PURB
1.52731E+12,8.27E+06,a5,654,Merc05,A05,wi,1,1,0,0,N,0
1.52732E+12,1.02E+07,a6,1650,Merc06,A06,sc,1,1,0,0,N,0
1.52734E+12,1.26E+07,a7,4000,Merc07,A07,ut,1,1,0,WTD,C,4011WTDC
1.52736E+12,1.43E+07,a8,2714,Merc08,A08,ga,1,0,0,PCP,B,4013PCPB
1.52738E+12,1.56E+07,a9,10700,Merc09,A09,mi,1,1,0,9,N,9
1.5274E+12,1.73E+07,a10,2978,Merc10,A10,al,1,0,1,PUR,B,4012PURB
1.52742E+12,1.95E+07,a11,6000,Merc11,A11,ca,1,1,0,0,N,0
1.52745E+12,2.14E+07,a12,17221,Merc12,A12,sc,1,1,0,9,N,9
1.52748E+12,2.33E+07,a13,0,Merc13,A13,va,0,0,1,50,N,50
1.52751E+12,2.42E+07,a14,2899,Merc13,A14,ma,1,0,1,20,N,20
1.52754E+12,2.63E+07,a15,19087,Merc14,A15,ga,1,1,0,0,N,0
1.52758E+12,2.79E+07,a16,199,Merc15,A16,tn,1,1,0,0,N,0
1.52762E+12,2.79E+07,a17,2166,Merc13,A17,wa,1,1,0,50,N,50
1.52766E+12,2.81E+07,a18,4000,Merc16,A18,wa,1,0,1,WTD,A,4012WTDA
1.5277E+12,3.02E+07,a19,705,Merc17,A19,sc,1,1,0,0,N,0
1.52774E+12,3.08E+07,a20,1000,Merc18,A20,or,1,0,1,PUR,B,4012PURB
1.52778E+12,3.40E+07,a21,1477,Merc19,A21,wa,1,1,0,0,N,0
1.52782E+12,3.60E+07,a22,10000,Merc20,A22,hi,1,1,0,0,N,0
1.52787E+12,3.94E+07,a23,580,Merc21,A16,az,1,1,0,0,N,0
1.52792E+12,4.26E+07,a24,10100,Merc22,A01,oh,1,0,1,PRA,B,1012PRAB
1.52797E+12,4.41E+07,a25,2497,Merc23,A19,ma,1,1,0,0,N,0
1.52802E+12,4.61E+07,a26,8000,Merc24,A20,ks,1,1,0,WTD,C,4011WTDC
1.52807E+12,4.81E+07,a27,1500,Merc25,A16,tx,1,1,0,1,N,1
1.52813E+12,4.88E+07,a28,2524,Merc26,A23,wi,1,1,0,0,N,0
1.52819E+12,5.11E+07,a27,1500,Merc25,A24,oh,1,0,1,1,N,1
1.52825E+12,5.13E+07,a29,6155,Merc27,A25,oh,1,0,1,9,N,9
1.52831E+12,5.44E+07,a30,0,Merc28,A26,pa,1,0,1,ABI,A,2012ABIA
1.52837E+12,5.68E+07,a31,1236,Merc29,A27,sc,1,1,0,PUR,B,4011PURB
